road,chainage,lat,lon,model_type,name,length,condition,id
N1,30.127,23.5639167,90.6501944,bridge,Bridge start,0.36799999999999855,A,1000136
N1,30.165,23.5636944,90.6504722,bridge,Bridge end,0.038000000000000256,A,1000137
N1,30.697,23.5604167,90.6542222,bridge,Bridge start,0.532,A,1000138
N1,30.735,23.5602222,90.6545,bridge,Bridge end,0.038000000000000256,A,1000139
N1,30.774,23.5599722,90.6548056,link,"Ctg 229 km,Comilla 62 km",0.03900000000000148,,1000140
N1,30.908,23.5591910296296,90.6557475703703,bridge,Alipur bridge(L),0.0,A,1000142
N1,30.936,23.5590278,90.6559444,link,Road to Gazara (Z1063),0.16199999999999903,,1000145
N1,31.348,23.5564444,90.6588611,bridge,Bridge start,0.41199999999999903,A,1000146
N1,31.388,23.5562222,90.6591389,bridge,Bridge end,0.0400000000000027,A,1000147
N1,31.472,23.5557082901265,90.6597414245569,bridge,Bhaber char Bridge(L),0.0,A,1000149
N1,31.783,23.5538056,90.6619722,link,"Ctg 228 km,Comilla 61 km",0.3949999999999996,,1000152
N1,32.025,23.5523333,90.6636667,bridge,Box culvert,0.24199999999999733,A,1000153
N1,32.121,23.5517421907216,90.6643538752577,bridge,BOBARCHAR BRIDGE(L),0.0,A,1000154
N1,32.607,23.5487497,90.6678327,link,"Ctg 227 km,Comilla 60 km",0.5820000000000007,,1000158
N1,32.777,23.5477377446428,90.6690554098214,bridge,PURRANBUICHE BOX CULVERT,0.6559999999999988,A,1000159
N1,32.796,23.5476246437499,90.669192065625,bridge,NOYAPARA,0.01899999999999835,A,1000160
N1,32.831,23.5474163,90.6694438,bridge,Bridge start,0.22400000000000375,A,1000161
N1,32.908,23.5469441,90.6699993,bridge,Bridge end,0.07699999999999818,A,1000162
N1,33.351,23.5442219,90.6731104,bridge,Box culvert,0.44299999999999784,A,1000163
N1,33.591,23.54268543125,90.6748292125,bridge,Madhya Baushia Bridge(L),0.7950000000000017,A,1000166
N1,33.607,23.542583,90.6749438,link,Km post missing,0.2560000000000002,,1000168
N1,34.111,23.5393910168,90.6784577888,bridge,BOCTAR KANDI BOX CULVERT,9.717999999999996,C,1000169
N1,34.607,23.5362497,90.681916,link,Km post missing,1.0,,1000170
N1,34.641,23.536083,90.6821382,bridge,Bridge start,0.03399999999999892,A,1000171
N1,34.681,23.5358608,90.6823604,bridge,Bridge end,0.03999999999999915,A,1000172
N1,34.956,23.5341386,90.6843052,bridge,Box culvert,0.2750000000000057,A,1000173
N1,35.181,23.5327751898617,90.6858701078341,bridge,.,1.5899999999999963,A,1000174
N1,35.408,23.5313996605222,90.68744892596,bridge,BORAKANDI BRIDGE(L),4.5,B,1000178
N1,35.607,23.5301938,90.688833,link,Km post missing,0.6509999999999962,,1000179
N1,35.707,23.5301519626506,90.6897951837349,bridge,CHAR BOUSHEA (2),0.2989999999999995,A,1000180
N1,36.271,23.529916,90.6952219,bridge,Daudkandi bridge,0.6640000000000015,A,1000181
N1,36.607,23.5301382,90.6984997,link,Km post missing,0.3359999999999985,,1000182
N1,37.01,23.5303844733,90.7024402743,bridge,Daudkandi Bridge.,1.3029999999999973,A,1000183
