link_no,name,length,traffic,criticality,start_node,end_node,start_betweenness,end_betweenness,avg_betweenness,traffic_weight
N704-10,Ruppur(Int.with N705)- Dasuria (Int.with N705),6.919,8580.0,5.539012845928661e-07,LRP074_772,LRP081_695,5.8307917940866166e-06,3.0868897733399737e-06,4.4588407837132956e-06,0.12422540105403371
N704-11,Ishwardi-Dasuria (Int.with N705) - Dasuria (Int.with N6),0.345,8580.0,1.9173506005137673e-07,LRP081_695,LRPE_0,3.0868897733399737e-06,0.0,1.5434448866699869e-06,0.12422540105403371
N705-2,Iswardi (Int.with Z6006)-Dashiria (Int.with N704),4.413,4632.0,0.0,LRP005_1410,LRPE_0,0.0,0.0,0.0,0.06706434238721261
N706-2,Chanchra More( Int with N7)-Navaron ( Int with R765),23.17,5707.0,5.668127364481776e-08,LRP002_820,LRP024_1880,6.859755051866608e-07,6.859755051866608e-07,6.859755051866608e-07,0.08262871373139515
N706-3,Navaron ( Int With R765)- Benapole,12.2,5707.0,2.834063682240888e-08,LRP024_1880,LRP035_3058,6.859755051866608e-07,0.0,3.429877525933304e-07,0.08262871373139515
N707-2,Daratana More(Int.with N702 and N706)-Monihar(Int.with N806),1.674,12499.0,6.20693218228997e-08,LRP002_998,LRP002_2672,3.429877525933304e-07,3.429877525933304e-07,3.429877525933304e-07,0.18096658365668616
N707-3,Monihar(Int.with N806)-Murail More(Int.with N7),2.588,12499.0,3.103466091144985e-08,LRP002_2672,LRPE_0,3.429877525933304e-07,0.0,1.714938762966652e-07,0.18096658365668616
N708-2,Board Office (Int.with N702)-Monihar,2.237,6242.0,0.0,LRP003_163,LRPE_0,0.0,0.0,0.0,0.09037470319105809
N709-2R,(Int.with R760) - Muhammed Nagar Chowrasta(Int.with Z7606)(Right),1.635,12352.0,1.2267865639754494e-07,LRP016_420,LRP018_55,6.859755051866608e-07,6.859755051866608e-07,6.859755051866608e-07,0.17883824636590026
N709-3R,Muhammed Nagar Chowrasta(Int.with Z7606) - Kudir Bottala(Int.with N7) (Right),8.445,12352.0,6.133932819877247e-08,LRP018_55,LRP025_500,6.859755051866608e-07,0.0,3.429877525933304e-07,0.17883824636590026
N712-2,Arappur (Int with N704) - Int with R745,1.34,8580.0,1.0651947780632039e-07,LRP002_190,LRP002_1530,6.859755051866608e-07,1.0289632577799912e-06,8.574693814833259e-07,0.12422540105403371
N712-3,Int with R745-Int with N703,1.62,8580.0,1.0651947780632039e-07,LRP002_1530,LRP002_3150,1.0289632577799912e-06,6.859755051866608e-07,8.574693814833259e-07,0.12422540105403371
N712-4,Int with N703-Alhera bus Stand,1.0,8580.0,4.260779112252816e-08,LRP002_3150,LRPE_0,6.859755051866608e-07,0.0,3.429877525933304e-07,0.12422540105403371
N8-2,Jurain (int.with R810)-Postagola Bridge,0.458,13474.0,2.944089115820228e-06,LRPS_1275,LRPS_1733,1.0289632577799913e-05,1.9893289650413162e-05,1.5091461114106539e-05,0.19508310650373545
N8-3,Postagola Bridge-Int. with N802,3.015,13474.0,4.750689255073549e-06,LRPS_1733,LRP004c_0,1.9893289650413162e-05,2.8810971217839754e-05,2.4352130434126458e-05,0.19508310650373545
