Road;Scenario;Seed;Average_driving_time;Total_waiting_time;Average_waiting_time
N1;8;1234567;0;58045;0
N1;8;1234567;0;58197;0
N1;8;1234567;0;58350;0
N1;8;1234567;0;58502;0
N1;8;1234567;0;58653;0
N1;8;1234567;0;58805;0
N1;8;1234567;0;58958;0
N1;8;1234567;0;59112;0
N1;8;1234567;0;59267;0
N1;8;1234567;0;59418;0
N1;8;1234567;0;59569;0
N1;8;1234567;0;59717;0
N1;8;1234567;0;59864;0
N1;8;1234567;0;60012;0
N1;8;1234567;0;60162;0
N1;8;1234567;0;60313;0
N1;8;1234567;0;60464;0
N1;8;1234567;0;60614;0
N1;8;1234567;0;60764;0
N1;8;1234567;0;60915;0
N1;8;1234567;0;61068;0
N1;8;1234567;0;61222;0
N1;8;1234567;0;61374;0
N1;8;1234567;0;61527;0
N1;8;1234567;0;61682;0
N1;8;1234567;0;61839;0
N1;8;1234567;0;61998;0
N1;8;1234567;0;62156;0
N1;8;1234567;0;62312;0
N1;8;1234567;0;62468;0
N1;8;1234567;0;62622;0
N1;8;1234567;0;62775;0
N1;8;1234567;0;62927;0
N1;8;1234567;0;63078;0
N1;8;1234567;0;63231;0
N1;8;1234567;0;63386;0
N1;8;1234567;0;63543;0
N1;8;1234567;0;63700;0
N1;8;1234567;0;63856;0
N1;8;1234567;0;64012;0
N1;8;1234567;0;64170;0
N1;8;1234567;0;64326;0
N1;8;1234567;0;64484;0
N1;8;1234567;0;64642;0
N1;8;1234567;0;64799;0
N1;8;1234567;0;64957;0
N1;8;1234567;0;65118;0
N1;8;1234567;0;65277;0
N1;8;1234567;0;65434;0
N1;8;1234567;0;65590;0
N1;8;1234567;0;65745;0
N1;8;1234567;0;65904;0
N1;8;1234567;0;66062;0
N1;8;1234567;0;66221;0
N1;8;1234567;0;66380;0
N1;8;1234567;0;66540;0
N1;8;1234567;0;66699;0
N1;8;1234567;0;66858;0
N1;8;1234567;0;67017;0
N1;8;1234567;0;67176;0
N1;8;1234567;0;67336;0
N1;8;1234567;0;67494;0
N1;8;1234567;0;67651;0
N1;8;1234567;0;67809;0
