road,name,chainage,condition,model_type,length,lat,lon
N1,DumGhat Bridge(L),165.183,A,bridge,7.151999999999987,22.9149647061403,91.5262895350877
N1,BUMGAT BOXCULVERT,165.825,A,bridge,0.6419999999999959,22.9097128884012,91.5289285034482
N1,BOROYAR PARA SLUB CULVERT,166.479,A,bridge,0.6540000000000248,22.9042462955223,91.5316297776119
N1,BAROYARHAT BOX CULVERT,167.963,A,bridge,1.4839999999999804,22.8916386,91.5354719
N1,UTTOR SONAPAR BOX CULVERT,169.933,A,bridge,1.9699999999999989,22.8746986941176,91.5408836647058
N1,CHAIRMEN BARI BOX CULVERT,170.174,A,bridge,0.24100000000001387,22.872722034892,91.5415958766187
N1,MADDAM SONAPAR(1) BOX CULVERT,170.725,A,bridge,0.5509999999999877,22.8680563702127,91.5432963340425
N1,DHARBAR TILA CULVERT,171.554,A,bridge,0.8290000000000077,22.8609876872509,91.5451551717131
N1,MADDUM SONAPHAR-3,171.728,A,bridge,0.1740000000000066,22.8594847882591,91.5454799987854
N1,MAMAFOUN ASTANA CULVERT,172.122,A,bridge,0.39400000000000546,22.8560565672727,91.5457188709091
N1,MAMAFAKIR ASTANA SLAB CULVERT,172.23,A,bridge,0.10799999999997567,22.8551475327433,91.5458221849557
N1,MASTANNAGOR BONCUL(1),172.969,A,bridge,0.7390000000000043,22.8486172764705,91.5463706117647
N1,MUSTAU NOGAR(2),173.35,A,bridge,0.3810000000000002,22.8453914894736,91.5474689210526
N1,MASTARI HAGOR 3 CULVERT,173.585,A,bridge,0.23500000000001364,22.8434551375,91.54814955625
N1,MUSTAN NAGAR -4,173.859,A,bridge,0.2740000000000009,22.8410943334277,91.5488096951841
N1,RAIPUR BOX CUL-1,174.804,A,bridge,0.9449999999999932,22.8327467692419,91.5501035014577
N1,RAIPUR (2) BOX CULVERT,175.013,A,bridge,0.20900000000000318,22.8309613422018,91.5505028545871
N1,MIRSARAI BOX CUL,179.363,A,bridge,4.349999999999994,22.7941813523326,91.5629612622718
N1,Mirsorai(2) box culvert,181.825,A,bridge,2.461999999999989,22.774197092,91.5728737519999
N1,IANAINIPOL BOX CULVERT.,182.318,A,bridge,0.4930000000000234,22.770251666098,91.5750905211087
N1,BOKIMTOLA BOX CULVERT,183.296,A,bridge,0.9779999999999802,22.7630626913907,91.5804538821192
N1,VARTAKA BOX CULVERT,184.654,A,bridge,1.358000000000004,22.7535653245121,91.5886004236585
N1,VARTAGIA BOX CULVERT,185.058,A,bridge,0.40399999999999636,22.7506393495689,91.5908840370689
N1,NIAZAMPUR BOX CULVERT,188.35,A,bridge,3.2920000000000016,22.723316755473,91.6024331404452
N1,MIRJAPUR BOX CULVERT,189.058,A,bridge,0.7079999999999984,22.7178243865384,91.6057623307692
N1,MIRZAPUR (2) BOX CULVERT,189.13,A,bridge,0.07200000000000273,22.7172707342307,91.6061084846153
