road,id,model_type,condition,name,lat,lon,length
N102,1001897,link,,Km post missing,23.8621667,91.1532778,0.05999999999999517
N1,1001898,link,,Km post Missing,23.5062778,90.9063889,0.09100000000000108
N2,1001899,link,,Sylhet 171 km,24.0515,90.8731104,0.06400000000000006
N102,1001900,link,,Box Culvert,23.8632222,91.1519444,0.035000000000003695
N2,1001901,link,,Bridge start,24.0514722,90.874166,0.07399999999999807
N2,1001902,link,,Bridge end,24.0514722,90.8745549,0.04099999999999682
N2,1001903,bridge,A,Khamachor Bridge,24.0514739136986,90.8748203075342,0.027000000000001023
N102,1001905,bridge,C,Akhand Bridge,23.8648880315298,91.1498322192164,0.14500000000000313
N207,1001907,link,,Sylhet 46 km,24.5773049,91.7096944,0.1700000000000017
N102,1001908,link,,Bridge start,23.8663333,91.1479997,0.07900000000000063
N102,1001909,link,,Bridge End,23.8664444,91.1478608,0.015999999999998238
N2,1001910,link,,Box culvert,24.0515,90.8788604,0.0009999999999976694
N2,1001911,bridge,A,CURMARA CULVERT,24.0515123332524,90.8794649810679,0.06099999999999994
N207,1001912,bridge,A,BAHUR BAG,24.5775646793522,91.7076751692307,0.05299999999999727
N102,1001913,link,,Km post missing / Bridge start,23.8748604,91.1409997,0.14300000000000068
N1,1001914,link,,Box culvert,23.50575,90.91525,0.0020000000000024443
N1,1001915,link,,Km post Missing,23.5057222,90.9160278,0.08899999999999864
