road,id,model_type,condition,name,lat,lon,length
N1,1001601,link,,Bridge end,21.3177771,92.0922497,0.01999999999998181
N1,1001602,link,,Road to Ramu(Z1009),21.317666,92.0930274,0.08199999999999363
N1,1001603,bridge,C,MARIECHA BAZAR,21.3162096661991,92.0939592732117,0.20100000000002183
N1,1001604,link,,Bridge start,21.3125,92.096333,0.5120000000000005
N1,1001605,link,,Bridge end,21.3121944,92.0966941,0.05200000000002092
N1,1001606,link,,"Teknaf 63 km,Uthia 9 km",21.3120278,92.0969163,0.02400000000000091
N1,1001607,link,,"Z1503, Maricha Dakbunglow Road",21.3101667,92.0974997,0.21999999999997044
N1,1001608,bridge,B,MORICHIA PALONG,21.308226843421,92.0972648315789,0.23799999999999955
N1,1001609,link,,Box culvert,21.3039722,92.0967497,0.5219999999999914
N1,1001610,link,,"Teknaf 62 km,Uthia 8 km",21.3037778,92.0968052,0.023000000000024556
N1,1001611,bridge,C,MORICHIA PALONG,21.3035165189189,92.0968487459459,0.029999999999972715
N1,1001612,bridge,D,SHAPUR STEEL BEAM AND RCC SLAB,21.2997453619819,92.0974772590991,0.4329999999999927
N1,1001613,link,,Box culvert,21.2989441,92.0976108,0.09200000000004138
N1,1001614,link,,Bridge start,21.2956386,92.0993886,0.4259999999999877
N1,1001615,link,,Bridge end,21.2949997,92.0993886,0.07400000000001228
N1,1001616,link,,"Teknaf 61 km,Uthia 7 km",21.2949163,92.0994163,0.007999999999981355
N1,1001617,bridge,A,SHAPUR,21.2887748,92.0999549688796,0.6920000000000073
N1,1001618,bridge,B,COTBAZR MUSLIM HOS,21.28755005,92.1000623912863,0.1379999999999768
N1,1001619,link,,"Teknaf 60 km,Uthia 6 km",21.2863608,92.1001667,0.13400000000001455
N1,1001620,link,,Box culvert,21.2839441,92.1005278,0.27499999999997726
N1,1001621,bridge,A,COURT BAZAR,21.2837382315436,92.1005546348993,0.02400000000000091
N1,1001622,link,,Bridge start,21.282777512080536,92.10067986442952,0.11200000000002319
N1,1001623,link,,Bridge end,21.282666,92.1006944,0.012999999999976808
N1,1001624,link,,Box culvert,21.2790827,92.1019722,0.42799999999999727
N1,1001625,link,,"Teknaf 59 km,Uthia 5 km",21.277666,92.1026111,0.16800000000000637
N1,1001626,bridge,A,RATNAPALANG,21.2740057908634,92.1044223449799,0.45100000000002183
N1,1001627,bridge,A,CHADIRIKHANA,21.2738921701807,92.1044785698795,0.014000000000010004
N1,1001628,bridge,A,CHADIRIKHANA,21.271611640763,92.1056070839357,0.2810000000000059
N1,1001629,link,,"Teknaf 58 km,Uthia 4 km",21.2695827,92.1066111,0.25
N1,1001630,link,,Box culvert,21.2694716,92.1066667,0.014999999999986358
N1,1001631,link,,Bridge start,21.2678604,92.1088333,0.29199999999997317
