Road;Scenario;Seed;Average_driving_time;Total_waiting_time;Average_waiting_time
N1;7;1234567;0.0;4166;0.0
N1;7;1234567;0.0;4206;0.0
N1;7;1234567;0.0;4247;0.0
N1;7;1234567;0.0;4287;0.0
N1;7;1234567;0.0;4326;0.0
N1;7;1234567;0.0;4365;0.0
N1;7;1234567;0.0;4404;0.0
N1;7;1234567;0.0;4445;0.0
N1;7;1234567;0.0;4485;0.0
N1;7;1234567;0.0;4525;0.0
N1;7;1234567;0.0;4565;0.0
N1;7;1234567;0.0;4606;0.0
N1;7;1234567;0.0;4649;0.0
N1;7;1234567;0.0;4692;0.0
N1;7;1234567;0.0;4735;0.0
N1;7;1234567;0.0;4778;0.0
N1;7;1234567;0.0;4822;0.0
N1;7;1234567;0.0;4867;0.0
N1;7;1234567;0.0;4912;0.0
N1;7;1234567;0.0;4957;0.0
N1;7;1234567;0.0;5001;0.0
N1;7;1234567;0.0;5045;0.0
N1;7;1234567;0.0;5089;0.0
N1;7;1234567;0.0;5132;0.0
N1;7;1234567;0.0;5174;0.0
N1;7;1234567;0.0;5216;0.0
N1;7;1234567;0.0;5258;0.0
N1;7;1234567;0.0;5301;0.0
N1;7;1234567;0.0;5343;0.0
N1;7;1234567;0.0;5385;0.0
N1;7;1234567;0.0;5427;0.0
N1;7;1234567;0.0;5470;0.0
N1;7;1234567;0.0;5515;0.0
N1;7;1234567;0.0;5560;0.0
N1;7;1234567;0.0;5605;0.0
N1;7;1234567;0.0;5650;0.0
N1;7;1234567;0.0;5697;0.0
N1;7;1234567;0.0;5744;0.0
N1;7;1234567;0.0;5792;0.0
N1;7;1234567;0.0;5840;0.0
N1;7;1234567;0.0;5888;0.0
N1;7;1234567;0.0;5936;0.0
N1;7;1234567;0.0;5985;0.0
N1;7;1234567;0.0;6034;0.0
N1;7;1234567;0.0;6083;0.0
N1;7;1234567;0.0;6132;0.0
N1;7;1234567;0.0;6180;0.0
N1;7;1234567;0.0;6229;0.0
N1;7;1234567;0.0;6278;0.0
N1;7;1234567;0.0;6327;0.0
N1;7;1234567;0.0;6376;0.0
N1;7;1234567;0.0;6425;0.0
N1;7;1234567;0.0;6475;0.0
N1;7;1234567;0.0;6526;0.0
N1;7;1234567;0.0;6578;0.0
N1;7;1234567;0.0;6628;0.0
N1;7;1234567;0.0;6678;0.0
N1;7;1234567;0.0;6729;0.0
N1;7;1234567;0.0;6780;0.0
N1;7;1234567;0.0;6831;0.0
N1;7;1234567;0.0;6882;0.0
N1;7;1234567;0.0;6933;0.0
N1;7;1234567;0.0;6985;0.0
N1;7;1234567;0.0;7039;0.0
N1;7;1234567;0.0;7093;0.0
N1;7;1234567;0.0;7147;0.0
N1;7;1234567;0.0;7201;0.0
N1;7;1234567;0.0;7256;0.0
N1;7;1234567;0.0;7311;0.0
N1;7;1234567;0.0;7366;0.0
N1;7;1234567;0.0;7421;0.0
N1;7;1234567;0.0;7476;0.0
N1;7;1234567;0.0;7532;0.0
N1;7;1234567;0.0;7588;0.0
N1;7;1234567;0.0;7644;0.0
N1;7;1234567;0.0;7698;0.0
N1;7;1234567;0.0;7752;0.0
N1;7;1234567;0.0;7807;0.0
N1;7;1234567;0.0;7862;0.0
N1;7;1234567;0.0;7917;0.0
N1;7;1234567;0.0;7972;0.0
N1;7;1234567;0.0;8027;0.0
N1;7;1234567;0.0;8082;0.0
N1;7;1234567;0.0;8138;0.0
N1;7;1234567;0.0;8194;0.0
N1;7;1234567;0.0;8250;0.0
N1;7;1234567;0.0;8305;0.0
N1;7;1234567;0.0;8360;0.0
N1;7;1234567;0.0;8415;0.0
N1;7;1234567;0.0;8470;0.0
N1;7;1234567;0.0;8525;0.0
N1;7;1234567;0.0;8580;0.0
N1;7;1234567;0.0;8636;0.0
N1;7;1234567;0.0;8692;0.0
N1;7;1234567;0.0;8750;0.0
N1;7;1234567;0.0;8809;0.0
N1;7;1234567;0.0;8868;0.0
N1;7;1234567;0.0;8928;0.0
N1;7;1234567;0.0;8988;0.0
N1;7;1234567;0.0;9049;0.0
N1;7;1234567;0.0;9109;0.0
N1;7;1234567;0.0;9169;0.0
N1;7;1234567;0.0;9230;0.0
N1;7;1234567;0.0;9291;0.0
N1;7;1234567;0.0;9353;0.0
N1;7;1234567;0.0;9415;0.0
N1;7;1234567;0.0;9477;0.0
N1;7;1234567;0.0;9540;0.0
N1;7;1234567;0.0;9602;0.0
N1;7;1234567;0.0;9664;0.0
N1;7;1234567;0.0;9726;0.0
N1;7;1234567;0.0;9787;0.0
N1;7;1234567;0.0;9850;0.0
N1;7;1234567;0.0;9913;0.0
N1;7;1234567;0.0;9976;0.0
N1;7;1234567;0.0;10039;0.0
N1;7;1234567;0.0;10099;0.0
N1;7;1234567;0.0;10160;0.0
N1;7;1234567;0.0;10221;0.0
N1;7;1234567;0.0;10283;0.0
N1;7;1234567;0.0;10345;0.0
N1;7;1234567;0.0;10406;0.0
N1;7;1234567;0.0;10468;0.0
N1;7;1234567;0.0;10530;0.0
N1;7;1234567;0.0;10595;0.0
N1;7;1234567;0.0;10660;0.0
N1;7;1234567;0.0;10725;0.0
N1;7;1234567;0.0;10791;0.0
N1;7;1234567;0.0;10857;0.0
N1;7;1234567;0.0;10924;0.0
N1;7;1234567;0.0;10991;0.0
N1;7;1234567;0.0;11058;0.0
N1;7;1234567;0.0;11125;0.0
N1;7;1234567;0.0;11191;0.0
N1;7;1234567;0.0;11256;0.0
N1;7;1234567;0.0;11321;0.0
N1;7;1234567;0.0;11386;0.0
N1;7;1234567;0.0;11452;0.0
N1;7;1234567;0.0;11516;0.0
N1;7;1234567;0.0;11580;0.0
N1;7;1234567;0.0;11643;0.0
N1;7;1234567;0.0;11707;0.0
N1;7;1234567;0.0;11772;0.0
N1;7;1234567;0.0;11836;0.0
N1;7;1234567;0.0;11901;0.0
N1;7;1234567;0.0;11966;0.0
N1;7;1234567;0.0;12033;0.0
N1;7;1234567;0.0;12102;0.0
N1;7;1234567;0.0;12171;0.0
N1;7;1234567;0.0;12240;0.0
N1;7;1234567;0.0;12308;0.0
N1;7;1234567;0.0;12376;0.0
N1;7;1234567;0.0;12445;0.0
N1;7;1234567;0.0;12514;0.0
N1;7;1234567;0.0;12584;0.0
N1;7;1234567;0.0;12654;0.0
N1;7;1234567;0.0;12725;0.0
N1;7;1234567;0.0;12795;0.0
N1;7;1234567;0.0;12866;0.0
N1;7;1234567;0.0;12937;0.0
N1;7;1234567;0.0;13008;0.0
N1;7;1234567;0.0;13079;0.0
N1;7;1234567;0.0;13151;0.0
N1;7;1234567;0.0;13222;0.0
N1;7;1234567;0.0;13293;0.0
N1;7;1234567;0.0;13366;0.0
N1;7;1234567;0.0;13437;0.0
N1;7;1234567;0.0;13508;0.0
N1;7;1234567;0.0;13579;0.0
N1;7;1234567;0.0;13649;0.0
N1;7;1234567;0.0;13716;0.0
N1;7;1234567;0.0;13785;0.0
N1;7;1234567;0.0;13855;0.0
N1;7;1234567;0.0;13925;0.0
N1;7;1234567;0.0;13997;0.0
N1;7;1234567;0.0;14069;0.0
N1;7;1234567;0.0;14141;0.0
N1;7;1234567;0.0;14215;0.0
N1;7;1234567;0.0;14290;0.0
N1;7;1234567;0.0;14365;0.0
N1;7;1234567;0.0;14440;0.0
N1;7;1234567;0.0;14515;0.0
N1;7;1234567;0.0;14591;0.0
N1;7;1234567;0.0;14669;0.0
N1;7;1234567;0.0;14747;0.0
N1;7;1234567;0.0;14825;0.0
N1;7;1234567;0.0;14902;0.0
N1;7;1234567;0.0;14980;0.0
N1;7;1234567;0.0;15058;0.0
N1;7;1234567;0.0;15136;0.0
N1;7;1234567;0.0;15214;0.0
N1;7;1234567;0.0;15291;0.0
N1;7;1234567;0.0;15369;0.0
N1;7;1234567;0.0;15447;0.0
N1;7;1234567;0.0;15525;0.0
N1;7;1234567;0.0;15603;0.0
N1;7;1234567;0.0;15681;0.0
N1;7;1234567;0.0;15760;0.0
N1;7;1234567;0.0;15840;0.0
N1;7;1234567;0.0;15920;0.0
N1;7;1234567;0.0;16000;0.0
N1;7;1234567;0.0;16080;0.0
N1;7;1234567;0.0;16160;0.0
N1;7;1234567;0.0;16239;0.0
N1;7;1234567;0.0;16318;0.0
N1;7;1234567;0.0;16397;0.0
N1;7;1234567;0.0;16477;0.0
N1;7;1234567;0.0;16560;0.0
N1;7;1234567;0.0;16641;0.0
N1;7;1234567;0.0;16722;0.0
N1;7;1234567;0.0;16803;0.0
N1;7;1234567;0.0;16883;0.0
N1;7;1234567;0.0;16963;0.0
N1;7;1234567;0.0;17042;0.0
N1;7;1234567;0.0;17121;0.0
N1;7;1234567;0.0;17200;0.0
N1;7;1234567;0.0;17281;0.0
N1;7;1234567;0.0;17362;0.0
N1;7;1234567;0.0;17443;0.0
N1;7;1234567;0.0;17525;0.0
N1;7;1234567;0.0;17607;0.0
N1;7;1234567;0.0;17688;0.0
N1;7;1234567;0.0;17770;0.0
N1;7;1234567;0.0;17852;0.0
N1;7;1234567;0.0;17935;0.0
N1;7;1234567;0.0;18019;0.0
N1;7;1234567;0.0;18102;0.0
N1;7;1234567;0.0;18184;0.0
N1;7;1234567;0.0;18266;0.0
N1;7;1234567;0.0;18348;0.0
N1;7;1234567;0.0;18430;0.0
N1;7;1234567;0.0;18513;0.0
N1;7;1234567;0.0;18595;0.0
N1;7;1234567;0.0;18679;0.0
N1;7;1234567;0.0;18763;0.0
N1;7;1234567;0.0;18848;0.0
N1;7;1234567;0.0;18933;0.0
N1;7;1234567;0.0;19018;0.0
N1;7;1234567;0.0;19102;0.0
N1;7;1234567;0.0;19186;0.0
N1;7;1234567;0.0;19271;0.0
N1;7;1234567;0.0;19356;0.0
N1;7;1234567;0.0;19442;0.0
N1;7;1234567;0.0;19529;0.0
N1;7;1234567;0.0;19616;0.0
N1;7;1234567;0.0;19702;0.0
N1;7;1234567;0.0;19788;0.0
N1;7;1234567;0.0;19875;0.0
N1;7;1234567;0.0;19962;0.0
N1;7;1234567;0.0;20048;0.0
N1;7;1234567;0.0;20134;0.0
N1;7;1234567;0.0;20220;0.0
N1;7;1234567;0.0;20305;0.0
N1;7;1234567;0.0;20390;0.0
N1;7;1234567;0.0;20476;0.0
N1;7;1234567;0.0;20562;0.0
N1;7;1234567;0.0;20649;0.0
N1;7;1234567;0.0;20738;0.0
N1;7;1234567;0.0;20826;0.0
N1;7;1234567;0.0;20913;0.0
N1;7;1234567;0.0;20999;0.0
N1;7;1234567;0.0;21086;0.0
N1;7;1234567;0.0;21174;0.0
N1;7;1234567;0.0;21264;0.0
N1;7;1234567;0.0;21353;0.0
N1;7;1234567;0.0;21443;0.0
N1;7;1234567;0.0;21532;0.0
N1;7;1234567;0.0;21622;0.0
N1;7;1234567;0.0;21713;0.0
N1;7;1234567;0.0;21803;0.0
N1;7;1234567;0.0;21893;0.0
N1;7;1234567;0.0;21984;0.0
N1;7;1234567;0.0;22075;0.0
N1;7;1234567;0.0;22165;0.0
N1;7;1234567;0.0;22254;0.0
N1;7;1234567;0.0;22343;0.0
N1;7;1234567;0.0;22431;0.0
N1;7;1234567;0.0;22520;0.0
N1;7;1234567;0.0;22610;0.0
N1;7;1234567;0.0;22701;0.0
